WHO	TYPE	SUBTYPE	REAL PROBLEM	PT	AUTHORS	TITLE	SOURCE	YEAR	ABSTRACT
JJ	ALL	SURVEY	YES	J	Gong, Yue-Jiao; Chen, Wei-Neng; Zhan, Zhi-Hui; Zhang, Jun; Li, Yun; Zhang, Qingfu; Li, Jing-Jing	Distributed evolutionary algorithms and their models: A survey of the state-of-the-art	APPLIED SOFT COMPUTING	2015	The increasing complexity of real-world optimization problems raises new challenges to evolutionary computation. Responding to these challenges, distributed evolutionary computation has received considerable attention over the past decade. This article provides a comprehensive survey of the state-of-the-art distributed evolutionary algorithms and models, which have been classified into two groups according to their task division mechanism. Population-distributed models are presented with master-slave, island, cellular, hierarchical, and pool architectures, which parallelize an evolution task at population, individual, or operation levels. Dimension-distributed models include coevolution and multi-agent models, which focus on dimension reduction. Insights into the models, such as synchronization, homogeneity, communication, topology, speedup, advantages and disadvantages are also presented and discussed. The study of these models helps guide future development of different and/or improved algorithms. Also highlighted are recent hotspots in this area, including the cloud and MapReduce-based implementations, GPU and CUDA-based implementations, distributed evolutionary multiobjective optimization, and real-world applications. Further, a number of future research directions have been discussed, with a conclusion that the development of distributed evolutionary computation will continue to flourish. (C) 2015 Elsevier B.V. All rights reserved.
JJ	ALL	SURVEY	YES	J	Ding Ke; Tan Ying	A review on general purpose computing on GPUs and its applications in computational intelligence	CAAI Transactions on Intelligent Systems	2015	The GPU enjoys the characteristics of high parallelism, low energy consumption and cheap price. Compared with the traditional CPU platform, it is especially suitable for tasks with high data parallelism. GPU computing has come into the mainstream of high performance computation (HPC) due to the emerging of development platforms like CUDA and OpenCL. The GPU's enormous computational power greatly promotes computational intelligence. A great success has been achieved in the fields such as deep learning and swarm intelligence optimization， and several breakthroughs have been seen in image, and speech recognition because of GPU. Though suffering some drawbacks, GPUs provide common people and small institutions with enormous computing power. This has changed the set-up of scientific computing and programming model because it could only be provided by expensive supercomputers. To help researchers in the field of computational intelligence better utilize GPUs, a detailed survey of GPGPU is given in this paper。First, the characteristics and advantages of GPUs against CPUs are presented. Then we briefly review the development of GPU hardware followed by a survey of the evolution of development tools for GPGPU; special attention is drawn to two major platforms, CUDA and OpenCL. We end this paper with our perspectives of the challenges and trends of GPGPU. We point out that embedding and cluster are two major trends for GPGPU and as both academia and industry continue to see increasing progress in artificial intelligence, the GPU will be more widely used in more domains.
ANTONIO	ALL	SURVEY	YES	S	Wang, Hongjian; Creput, Jean-Charles	Parallel and Distributed Implementation Models for Bio-inspired Optimization Algorithms	SWARM INTELLIGENCE BASED OPTIMIZATION (ICSIBO 2014)	2014	Bio-inspired optimization algorithms have natural parallelism but practical implementations in parallel and distributed computational systems are nontrivial. Gains from different parallelism philosophies and implementation strategies may vary widely. In this paper, we contribute with a new taxonomy for various parallel and distributed implementation models of metaheuristic optimization. This taxonomy is based on three factors that every parallel and distributed metaheuristic implementation needs to consider: control, data, and memory. According to our taxonomy, we categorize different parallel and distributed bio-inspired models as well as local search metaheuristic models. We also introduce a new designed GPU parallel model for the Kohonen's self-organizing map, as a representative example which belongs to a significant category in our taxonomy.
GUSTAVO	ALL	SURVEY	YES	J	Zhang Qingke; Yang Bo; Wang Lin; Zhu Fuxiang	Research on Parallel Modern Optimization Algorithms Using GPU	Computer Science	2012	In order to deal with the relatively high time-complexity of practical issue,parallel modern optimization based on GPU was presented in this paper.Firstly,CUDA parallel programming architecture and programming model were summarized at a macroscopic level.Then the parallel processes of five typical modern optimization algorithms(Simulated Annealing,Tabu Search,Genetic Algorithms,Particle Swarm Optimization and Artificial Neural Network) using CUDA programming model were provided.Experimental statistics measured in different environment indicate that the parallel method can obtain better performance on average than CPU.Finally the parallel optimization strategy was discussed and the outlook of future direction of parallel optimization algorithm was also pointed out.
GUSTAVO	ANN		no	J	Chedjou, J. C.; Kyamakya, K.	CNN-based ultrafast solver of stiff ODEs and PDEs for enabling realtime Computational Engineering	COMPEL-THE INTERNATIONAL JOURNAL FOR COMPUTATION AND MATHEMATICS IN ELECTRICAL AND ELECTRONIC ENGINEERING	2011	"Purpose - This paper seeks to develop, propose and validate, through a series of presentable examples, a comprehensive high-precision and ultra-fast computing concept for solving stiff ordinary differential equations (ODEs) and partial differential equations (PDEs) with cellular neural networks (CNN).Design/methodology/approach - The core of the concept developed in this paper is a straightforward scheme that we call ""nonlinear adaptive optimization (NAOP)"", which is used for a precise template calculation for solving any (stiff) nonlinear ODEs through CNN processors.Findings - One of the key contributions of this work (this is a real breakthrough) is to demonstrate the possibility of mapping/transforming different types of nonlinearities displayed by various classical and well-known oscillators (e.g. van der Pol-, Rayleigh-, Duffing-, Rossler-, Lorenz-, and Jerk-oscillators, just to name a few) unto first-order CNN elementary cells, and thereby enabling the easy derivation of corresponding CNN-templates. Furthermore, in case of PDEs solving, the same concept also allows a mapping unto first-order CNN cells while considering one or even more nonlinear terms of the Taylor's series expansion generally used in the transformation of a PDEs in a set of coupled nonlinear ODEs. Therefore, the concept of this paper does significantly contribute to the consolidation of CNN as a universal and ultra-fast solver of stiff differential equations (both ODEs and PDEs). This clearly enables a CNN-based, real-time, ultra-precise, and low-cost Computational Engineering. As proof of concept a well-known prototype of stiff equations (van der Pol) has been considered; the corresponding precise CNN-templates are derived to obtain precise solutions of this equation.Originality/value - This paper contributes to the enrichment of the literature as the relevant state-of-the-art does not provide a systematic and robust method to solve nonlinear ODEs and/or nonlinear PDEs using the CNN-paradigm. Further, the ""NAOP"" concept developed in this paper has been proven to perform accurate and robust calculations. This concept is not based on trial-and-error processes as it is the case for various classes of optimization methods/tools (e.g. genetic algorithm, particle swarm, neural networks, etc.). The ""NAOP"" concept developed in this frame does significantly contribute to the consolidation of CNN as a universal and ultra-fast solver of nonlinear differential equations (both ODES and PDEs). An implantation of the concept developed is possible even on embedded digital platforms (e.g. field-programmable gate array (FPGA), digital signal processing (DSP), graphics processing unit (GPU), etc.); this opens a broad range of applications. On-going works (as outlook) are using NAOP for deriving precise templates for a selected set of practically interesting PDE models such as Navier Stokes, Schrodinger, Maxwell, etc."
PEDRO	CFO		NO	J	Green, Robert C., II; Wang, Lingfeng; Alam, Mansoor; Formato, Richard A.	Central force optimization on a GPU: a case study in high performance metaheuristics	JOURNAL OF SUPERCOMPUTING	2012	Central Force Optimization (CFO) is a new and deterministic population based metaheuristic algorithm that has been demonstrated to be competitive with other metaheuristic algorithms such as Genetic Algorithms (GA), Particle Swarm Optimization (PSO), and Group Search Optimization (GSO). While CFO often shows superiority in terms of functional evaluations and solution quality, the algorithm is complex and typically requires increased computational time. In order to decrease the computational time required for convergence when using CFO, this study presents the first parallel implementation of CFO on a Graphics Processing Unit (GPU) using the NVIDIA Compute Unified Device Architecture (CUDA). Two versions of the CFO algorithm, Parameter-Free CFO (PF-CFO) and Pseudo-Random CFO (PR-CFO), are implemented using CUDA on a NVIDIA Quadro 1000M and examined using four test problems ranging from 10 to 50 dimensions. Discussion is made concerning the implementation of the CFO algorithms in terms of problem decomposition, memory access, scalability, and divergent code. Results demonstrate substantial speedups ranging from roughly 1 to 28 depending on problem size and complexity.
ANTONIO	DE	PSO	YES	S	Ugolotti, Roberto; Micconi, Giorgio; Aleotti, Jacopo; Cagnoni, Stefano	GPU-Based Point Cloud Recognition Using Evolutionary Algorithms	APPLICATIONS OF EVOLUTIONARY COMPUTATION	2014	In this paper, we describe a method for recognizing objects in the form of point clouds acquired with a laser scanner. This method is fully implemented on GPU and uses bio-inspired metaheuristics, namely PSO or DE, to evolve the rigid transformation that best aligns some references extracted from a dataset to the target point cloud. We compare the performance of our method with an established method based on Fast Point Feature Histograms (FPFH). The results prove that FPFH is more reliable under simple and controlled situations, but PSO and DE are more robust with respect to common problems as noise or occlusions.
MARIBEL	DE		YES	S	Ugolotti, Roberto; Mesejo, Pablo; Nashed, Youssef S. G.; Cagnoni, Stefano	GPU-Based Automatic Configuration of Differential Evolution: A Case Study	PROGRESS IN ARTIFICIAL INTELLIGENCE, EPIA 2013	2013	The performance of an evolutionary algorithm strongly depends on the choice of the parameters which regulate its behavior. In this paper, two evolutionary algorithms (Particle Swarm Optimization and Differential Evolution) are used to find the optimal configuration of parameters for Differential Evolution. We tested our approach on four benchmark functions, and the comparison with an exhaustive search demonstrated its effectiveness. Then, the same method was used to tune the parameters of Differential Evolution in solving a real-world problem: the automatic localization of the hippocampus in histological brain images. The results obtained consistently outperformed the ones achieved using manually-tuned parameters. Thanks to a GPU-based implementation, our tuner is up to 8 times faster than the corresponding sequential version.
MARIBEL	DE		YES	S	Cardenas-Montes, Miguel; Angel Vega-Rodriguez, Miguel; Sevilla, Ignacio; Ponce, Rafael; Jose Rodriguez-Vazquez, Juan; Sanchez Alvaro, Eusebio	Concurrent CPU-GPU Code Optimization: The Two-Point Angular Correlation Function as Case Study	ADVANCES IN ARTIFICIAL INTELLIGENCE, CAEPIA 2013	2013	Nowadays many computational systems are endowed of multi-cores in the main processor units, and one or more many-core cards. This makes possible the execution of codes on both computational resources concurrently. The challenge in this scenario is to balance correctly both execution paths. When the scenario is simple enough, by-hand optimization can be affordable, otherwise metaheuristic techniques are mandatory. In this work, Differential Evolution algorithm is implemented to optimize a concurrent CPU-GPU code calculating the Two-Point Angular Correlation Function applied to the study of Large-Scale Structure of the Universe. The Two-Point Angular Correlation Function is a computationally intensive function, requiring the calculation of three histograms with different execution times. Therefore, this forces to implement a parameter for describing the percentage of computation in CPU per histogram, and the counterpart in GPU; and to use metaheuristic techniques to fit the appropriate values for these three percentages. As a consequence of the optimization process described in this article, a significant reduction of the execution time is achieved. This proof of concept demonstrates that Evolutionary Algorithms are useful for fairly balancing computational paths in concurrent computing scenarios.
MARIBEL	DE		YES	S	Kroemer, Pavel; Platos, Jan; Snasel, Vaclav	A Brief Survey of Differential Evolution on Graphic Processing Units	PROCEEDINGS OF THE 2013 IEEE SYMPOSIUM ON DIFFERENTIAL EVOLUTION (SDE)	2013	Differential evolution is an efficient populational meta-heuristic optimization algorithm that has been applied to many difficult real world problems. Due to the relative simplicity of its operations and real encoded data structures, it is suitable for a parallel implementation on multicore systems and on Graphic Processing Units (GPUs) that nowadays reach peak performance of hundreds and thousands of giga FLOPS (floating-point operations per second). This study provides a brief survey of current state-of-the-art research on differential evolution in the GPU environment.
